14:51:24.460 -> deg: 135, a: 434, D: 12.93, t: 1012365, 
14:51:24.977 -> deg: 135, a: 434, D: 12.98, t: 1012868, 
14:51:25.446 -> deg: 135, a: 434, D: 13.03, t: 1013371, 
14:51:25.959 -> deg: 135, a: 434, D: 13.08, t: 1013874, 
14:51:26.475 -> deg: 135, a: 434, D: 13.15, t: 1014377, 
14:51:26.943 -> deg: 135, a: 435, D: 13.13, t: 1014880, 
14:51:27.458 -> deg: 135, a: 434, D: 13.43, t: 1015383, 
14:51:27.977 -> deg: 135, a: 434, D: 13.68, t: 1015886, 
14:51:28.445 -> deg: 135, a: 434, D: 13.25, t: 1016389, 
14:51:28.962 -> deg: 135, a: 434, D: 13.74, t: 1016892, 
14:51:29.478 -> deg: 135, a: 434, D: 13.79, t: 1017395, 
14:51:29.949 -> deg: 135, a: 434, D: 13.79, t: 1017899, 
14:51:30.464 -> deg: 135, a: 434, D: 13.84, t: 1018402, 
14:51:30.982 -> deg: 135, a: 435, D: 13.63, t: 1018905, 
14:51:31.449 -> deg: 135, a: 435, D: 13.46, t: 1019408, 
14:51:31.965 -> deg: 135, a: 434, D: 13.53, t: 1019911, 
14:51:32.480 -> deg: 135, a: 434, D: 13.56, t: 1020414, 
14:51:32.950 -> deg: 135, a: 435, D: 13.63, t: 1020918, 
14:51:33.468 -> deg: 135, a: 434, D: 14.11, t: 1021421, 
14:51:33.982 -> deg: 135, a: 435, D: 13.68, t: 1021924, 
14:51:34.451 -> deg: 135, a: 434, D: 14.17, t: 1022427, 
14:51:34.957 -> deg: 135, a: 435, D: 14.58, t: 1022930, 
14:51:35.473 -> deg: 135, a: 434, D: 14.23, t: 1023433, 
14:51:35.944 -> deg: 135, a: 434, D: 14.23, t: 1023936, 
14:51:36.462 -> deg: 135, a: 434, D: 14.20, t: 1024439, 
14:51:36.980 -> deg: 135, a: 435, D: 14.25, t: 1024942, 
14:51:37.448 -> deg: 135, a: 435, D: 13.91, t: 1025445, 
14:51:37.962 -> deg: 135, a: 435, D: 13.96, t: 1025948, 
14:51:38.480 -> deg: 135, a: 434, D: 14.01, t: 1026451, 
14:51:38.948 -> deg: 135, a: 434, D: 14.06, t: 1026954, 
14:51:39.465 -> deg: 135, a: 435, D: 14.46, t: 1027457, 
14:51:39.979 -> deg: 135, a: 434, D: 14.11, t: 1027960, 
14:51:40.444 -> deg: 135, a: 434, D: 14.53, t: 1028463, 
14:51:40.960 -> deg: 135, a: 434, D: 15.01, t: 1028966, 
14:51:41.475 -> deg: 135, a: 435, D: 14.58, t: 1029468, 
14:51:41.945 -> deg: 135, a: 434, D: 14.58, t: 1029971, 
14:51:42.463 -> deg: 135, a: 434, D: 14.61, t: 1030474, 
14:51:42.932 -> deg: 135, a: 434, D: 14.68, t: 1030977, 
14:51:43.451 -> deg: 135, a: 434, D: 14.27, t: 1031480, 
14:51:43.966 -> deg: 135, a: 434, D: 14.30, t: 1031983, 
14:51:44.432 -> deg: 135, a: 434, D: 14.53, t: 1032486, 
14:51:44.951 -> deg: 135, a: 434, D: 14.35, t: 1032989, 
14:51:45.468 -> deg: 135, a: 434, D: 14.41, t: 1033492, 
14:51:45.935 -> deg: 135, a: 435, D: 14.90, t: 1033995, 
14:51:46.440 -> deg: 135, a: 434, D: 14.96, t: 1034497, 
14:51:46.953 -> deg: 135, a: 435, D: 14.96, t: 1034999, 
14:51:47.471 -> deg: 135, a: 435, D: 15.01, t: 1035501, 
14:51:47.943 -> deg: 135, a: 434, D: 15.01, t: 1036003, 
14:51:48.457 -> deg: 135, a: 435, D: 15.06, t: 1036505, 
14:51:48.956 -> deg: 135, a: 434, D: 14.84, t: 1037007, 
14:51:49.427 -> deg: 135, a: 434, D: 15.11, t: 1037510, 
14:51:49.941 -> deg: 135, a: 434, D: 14.68, t: 1038012, 
14:51:50.460 -> deg: 135, a: 434, D: 15.16, t: 1038515, 
14:51:50.928 -> deg: 135, a: 435, D: 15.21, t: 1039017, 
14:51:51.444 -> deg: 135, a: 434, D: 15.28, t: 1039519, 
14:51:51.958 -> deg: 135, a: 434, D: 14.84, t: 1040021, 
14:51:52.425 -> deg: 135, a: 434, D: 15.33, t: 1040523, 
14:51:52.939 -> deg: 135, a: 435, D: 15.39, t: 1041025, 
14:51:53.456 -> deg: 135, a: 434, D: 15.39, t: 1041527, 
14:51:53.925 -> deg: 135, a: 434, D: 15.44, t: 1042029, 
14:51:54.443 -> deg: 135, a: 435, D: 15.94, t: 1042531, 
14:51:54.908 -> deg: 135, a: 434, D: 15.49, t: 1043033, 
14:51:55.426 -> deg: 135, a: 434, D: 15.49, t: 1043535, 
14:51:55.941 -> deg: 135, a: 434, D: 15.54, t: 1044037, 
14:51:56.414 -> deg: 135, a: 434, D: 15.54, t: 1044539, 
14:51:56.929 -> deg: 135, a: 434, D: 15.61, t: 1045041, 
14:51:57.399 -> deg: 135, a: 434, D: 15.64, t: 1045543, 
14:51:57.912 -> deg: 135, a: 434, D: 15.23, t: 1046045, 
14:51:58.428 -> deg: 135, a: 435, D: 15.71, t: 1046547, 
14:51:58.898 -> deg: 135, a: 435, D: 15.97, t: 1047049, 
14:51:59.414 -> deg: 135, a: 434, D: 15.32, t: 1047552, 
14:51:59.931 -> deg: 135, a: 433, D: 15.82, t: 1048054, 
14:52:00.398 -> deg: 135, a: 434, D: 15.87, t: 1048556, 
14:52:00.916 -> deg: 135, a: 434, D: 15.87, t: 1049058, 
14:52:01.428 -> deg: 135, a: 434, D: 15.92, t: 1049560, 
14:52:01.896 -> deg: 135, a: 434, D: 15.92, t: 1050062, 
14:52:02.409 -> deg: 135, a: 434, D: 15.97, t: 1050564, 
14:52:02.927 -> deg: 135, a: 435, D: 15.97, t: 1051066, 
14:52:03.395 -> deg: 135, a: 434, D: 16.02, t: 1051568, 
14:52:03.912 -> deg: 135, a: 435, D: 15.61, t: 1052070, 
14:52:04.381 -> deg: 135, a: 435, D: 15.66, t: 1052572, 
14:52:04.892 -> deg: 135, a: 435, D: 15.66, t: 1053074, 
14:52:05.411 -> deg: 135, a: 434, D: 15.71, t: 1053576, 
14:52:05.882 -> deg: 135, a: 435, D: 15.69, t: 1054078, 
14:52:06.396 -> deg: 135, a: 434, D: 15.76, t: 1054580, 
14:52:06.911 -> deg: 135, a: 434, D: 15.82, t: 1055082, 
14:52:07.381 -> deg: 135, a: 434, D: 16.30, t: 1055584, 
14:52:07.894 -> deg: 135, a: 434, D: 16.30, t: 1056087, 
14:52:08.409 -> deg: 135, a: 434, D: 16.35, t: 1056589, 
14:52:08.879 -> deg: 135, a: 434, D: 16.35, t: 1057091, 
14:52:09.400 -> deg: 135, a: 434, D: 15.92, t: 1057593, 
14:52:09.866 -> deg: 135, a: 435, D: 15.99, t: 1058095, 
14:52:10.381 -> deg: 135, a: 434, D: 16.47, t: 1058597, 
14:52:10.900 -> deg: 135, a: 434, D: 16.02, t: 1059099, 
